City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,fort st. john,56.2499,-120.8529,21.94,40,0,4.63,CA,1692926384
213,kzyltu,53.6364,72.3414,12.07,62,100,3.52,KZ,1692926384
214,pahrump,36.2083,-115.9839,35.03,31,11,1.79,US,1692926385
215,chos malal,-37.3781,-70.2709,2.73,70,50,2.59,AR,1692926386
216,puerto lempira,15.2667,-83.7667,25.31,93,100,2.53,HN,1692926386
217,cabo san lucas,22.8909,-109.9124,33.67,66,0,5.14,MX,1692926371
218,lagunas,-5.2269,-75.6753,27.25,58,15,1.01,PE,1692926388
219,fort saskatchewan,53.7168,-113.2187,20.38,72,67,4.47,CA,1692926388
220,shats'k,51.5021,23.9381,19.23,56,100,1.77,UA,1692926389
221,vadso,70.0744,29.7487,10.49,93,100,4.12,NO,1692926390
222,boyolangu,-8.1181,111.8935,25.34,73,42,3.61,ID,1692926391
223,borogontsy,62.6683,131.1683,14.64,49,36,3.18,RU,1692926391
224,awjilah,29.1081,21.2869,31.25,27,5,1.56,LY,1692926392
225,boende,-0.2167,20.8667,21.99,97,100,1.07,CD,1692926393
226,novosilikatnyy,53.3097,83.6239,20.32,64,0,5.0,RU,1692926394
227,acapulco de juarez,16.8634,-99.8901,29.9,70,75,2.57,MX,1692926110
228,port saint john's,-31.6229,29.5448,17.25,80,100,4.91,ZA,1692926395
229,micheweni,-4.9667,39.8333,24.3,83,14,5.17,TZ,1692926396
230,acarau,-2.8856,-40.12,25.38,84,2,6.32,BR,1692926396
231,agapovka,53.2973,59.1348,9.41,71,10,1.53,RU,1692926397
232,tomatlan,19.9333,-105.25,27.46,80,100,1.55,MX,1692926397
233,al kharijah,25.4514,30.5464,31.02,23,0,8.9,EG,1692926398
234,chibougamau,49.9168,-74.3659,14.94,87,100,2.52,CA,1692926240
235,isla mujeres,21.2311,-86.731,29.03,84,99,4.56,MX,1692926399
236,arkhangel'sk,64.5401,40.5433,8.81,90,100,1.87,RU,1692926401
237,bodo,67.28,14.405,12.02,98,100,1.03,NO,1692926402
238,kayyerkan,69.3786,87.7439,15.72,100,100,4.0,RU,1692926406
239,morehead city,34.7229,-76.726,28.0,71,0,3.58,US,1692926407
240,box elder,41.5005,-112.8764,28.48,47,0,2.75,US,1692926408
241,papatowai,-46.5619,169.4708,13.22,70,12,0.58,NZ,1692926409
242,north battleford,52.7834,-108.2847,16.34,68,99,5.18,CA,1692926409
243,qaqortoq,60.7167,-46.0333,8.13,95,100,0.55,GL,1692926411
244,urangan,-25.3,152.9,20.66,70,16,6.88,AU,1692926412
245,dryden,49.7833,-92.7503,18.27,91,6,1.04,CA,1692926412
246,crane,31.3974,-102.3501,32.64,26,39,6.42,US,1692926413
247,fort mcmurray,56.7268,-111.381,20.77,45,13,4.12,CA,1692926414
248,hadibu,12.65,54.0333,26.22,80,98,7.74,YE,1692926415
249,mckinleyville,40.9465,-124.1006,21.55,73,75,0.0,US,1692926416
250,kailua-kona,19.6406,-155.9956,27.98,79,75,4.63,US,1692926417
251,kamaishi,39.2667,141.8833,29.68,71,0,4.96,JP,1692926418
252,nadym,65.5333,72.5167,6.34,93,14,7.53,RU,1692926418
253,northam,51.0333,-4.2167,18.5,84,100,4.17,GB,1692926419
254,gadzhiyevo,69.2551,33.3362,6.16,85,98,0.59,RU,1692926420
255,marsabit,2.3284,37.9899,17.08,72,0,8.84,KE,1692926420
256,mogocha,53.7333,119.7667,16.04,54,95,0.87,RU,1692926421
257,maragogi,-9.0122,-35.2225,23.92,82,13,3.57,BR,1692926422
258,mahanoro,-19.9,48.8,19.31,92,1,2.15,MG,1692926422
259,talara,-4.5772,-81.2719,22.42,83,0,6.75,PE,1692926423
260,bemidji,47.4736,-94.8803,23.27,89,0,1.54,US,1692926404
261,sidi khaled,34.387,4.9879,31.08,22,0,3.97,DZ,1692926425
262,el tarf,36.7672,8.3138,22.87,54,0,1.41,DZ,1692926425
263,ocos,14.5094,-92.1933,27.1,78,100,3.34,GT,1692926426
264,midvagur,62.0511,-7.1939,12.46,82,75,3.6,FO,1692926427
265,mount gambier,-37.8333,140.7667,14.71,77,92,2.83,AU,1692926427
266,bosaso,11.2842,49.1816,33.89,38,94,7.75,SO,1692926428
267,nishinoomote,30.7333,131.0,29.31,89,75,3.09,JP,1692926429
268,forster,-32.1667,152.5167,19.65,58,0,2.38,AU,1692926430
269,tataouine,32.9297,10.4518,26.14,52,0,1.49,TN,1692926431
270,raduzhny,62.0961,77.475,8.73,78,21,1.69,RU,1692926432
271,seymour,38.9592,-85.8903,30.05,85,23,4.13,US,1692926433
272,flying fish cove,-10.4217,105.6791,24.82,83,100,5.66,CX,1692926434
273,mana,5.6592,-53.7767,25.75,90,33,3.14,GF,1692926434
274,mandalgovi,45.7625,106.2708,14.24,48,100,2.65,MN,1692926435
275,streator,41.1209,-88.8354,32.06,85,10,5.95,US,1692926392
276,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,100,2.0,RU,1692926436
277,campo gallo,-26.5833,-62.85,15.36,30,0,2.97,AR,1692926438
278,lastra a signa,43.7714,11.1028,27.52,62,0,1.03,IT,1692926439
279,kurchatov,51.6601,35.6521,12.76,84,71,2.13,RU,1692926440
280,fort bragg,35.139,-79.006,29.34,64,0,2.57,US,1692926441
281,inirida,3.8653,-67.9239,25.14,86,54,1.67,CO,1692926441
282,karungdong,5.8844,121.263,29.07,70,98,1.1,PH,1692926442
283,zeya,53.75,127.2667,19.01,51,6,2.7,RU,1692926443
284,kidal,18.4411,1.4078,34.53,24,25,3.4,ML,1692926290
285,vila velha,-20.3297,-40.2925,24.97,91,20,4.63,BR,1692926171
286,gorontalo,0.5412,123.0595,29.63,66,58,4.54,ID,1692926445
287,kavaratti,10.5669,72.642,27.6,75,82,4.07,IN,1692926445
288,mollendo,-17.0231,-72.0147,16.99,85,69,3.47,PE,1692926446
289,san ignacio,17.1561,-89.0714,25.08,94,75,5.14,BZ,1692926447
290,skikda,36.8762,6.9092,25.81,64,0,1.25,DZ,1692926223
291,kayangel,8.0823,134.7173,28.1,79,100,6.93,PW,1692926448
292,camrose,53.0168,-112.8353,17.73,70,58,4.6,CA,1692926449
293,hasaki,35.7333,140.8333,34.05,76,11,3.98,JP,1692926449
294,whitehorse,60.7161,-135.0538,24.43,30,75,2.06,CA,1692926450
295,saint-leu,-21.15,55.2833,20.46,62,0,0.99,RE,1692926451
296,cannonvale,-20.2833,148.7,22.66,66,0,8.03,AU,1692926452
297,zahedan,29.4963,60.8629,20.95,26,0,3.09,IR,1692926455
298,santa maria del oro,25.9333,-105.3667,25.62,50,99,5.91,MX,1692926456
299,vielha,42.6846,0.7726,16.5,56,18,1.88,ES,1692926456
300,copiapo,-27.3667,-70.3333,11.83,69,0,0.65,CL,1692926457
301,akureyri,65.6835,-18.0878,6.96,100,0,2.57,IS,1692926457
302,klaksvik,62.2266,-6.589,12.51,98,95,5.8,FO,1692926458
303,portage la prairie,49.9728,-98.2926,23.05,68,75,4.12,CA,1692926459
304,st. john's,47.5649,-52.7093,15.08,95,100,2.06,CA,1692926460
305,chonchi,-42.6128,-73.8092,3.95,94,39,1.23,CL,1692926460
306,junin de los andes,-39.9504,-71.0694,-2.11,86,5,3.16,AR,1692926461
307,valdivia,-39.8142,-73.2459,3.05,95,2,0.57,CL,1692926234
308,sambava,-14.2667,50.1667,20.26,88,13,4.25,MG,1692926463
309,kill devil hills,36.0307,-75.676,25.55,72,100,3.6,US,1692926463
310,woolgoolga,-30.1106,153.2007,20.02,65,0,2.83,AU,1692926464
311,shakawe,-18.3667,21.85,18.84,24,0,1.57,BW,1692926465
312,kyzyl-suu,42.3414,78.0056,15.81,44,0,2.62,KG,1692926465
313,al khums,32.6486,14.2619,26.03,75,0,3.46,LY,1692926466
314,san patricio,28.017,-97.5169,32.4,52,100,3.77,US,1692926467
315,kenai,60.5544,-151.2583,16.05,93,100,1.54,US,1692926468
316,ardmore,34.1743,-97.1436,35.7,40,0,2.06,US,1692926468
317,soio,-6.1349,12.3689,21.87,91,100,3.03,AO,1692926469
318,puerto aysen,-45.4,-72.7,3.82,99,99,2.1,CL,1692926470
319,dapa,9.7594,126.0531,28.4,72,100,1.96,PH,1692926470
320,lae,-6.7221,146.9847,24.71,88,98,0.29,PG,1692926471
321,fisterra,42.9049,-9.2629,20.42,89,81,5.35,ES,1692926472
322,sibut,5.718,19.0739,21.9,94,100,1.36,CF,1692926473
323,muisne,0.6,-80.0333,25.2,85,36,1.52,EC,1692926473
324,yatou,37.15,122.3833,26.43,64,0,4.18,CN,1692926474
325,bulgan,48.8125,103.5347,12.65,77,97,1.26,MN,1692926475
326,happy valley-goose bay,53.3168,-60.3315,13.17,82,75,1.03,CA,1692926475
327,owen sound,44.5672,-80.9435,20.64,97,88,0.89,CA,1692926476
328,hotan,37.0997,79.9269,23.93,33,100,0.99,CN,1692926477
329,naama,33.2667,-0.3167,25.03,39,0,2.91,DZ,1692926478
330,hermanus,-34.4187,19.2345,12.67,77,100,5.25,ZA,1692926478
331,al bardiyah,31.7561,25.0865,26.63,68,0,3.53,LY,1692926479
332,ataq,14.5377,46.8319,27.88,45,95,2.93,YE,1692926480
333,port alfred,-33.5906,26.891,15.89,66,100,3.35,ZA,1692926480
334,ribeira brava,32.65,-17.0667,26.18,43,100,1.19,PT,1692926481
335,lorengau,-2.0226,147.2712,27.67,81,16,2.56,PG,1692926482
336,praia da vitoria,38.7333,-27.0667,21.53,94,40,8.9,PT,1692926483
337,tancacha,-32.2431,-63.9807,11.79,48,77,1.98,AR,1692926483
338,dompu,-8.5356,118.4622,27.98,60,27,3.46,ID,1692926484
339,badger,64.8,-147.5333,22.14,68,100,2.06,US,1692926485
340,sao vicente,-23.9631,-46.3919,25.1,26,96,4.42,BR,1692926249
341,mar del plata,-38.0023,-57.5575,7.19,77,0,2.06,AR,1692926486
342,wanxian,30.8039,108.3897,23.61,93,100,2.15,CN,1692926487
343,menongue,-14.6585,17.691,16.11,22,6,1.93,AO,1692926488
344,alofi,-19.0595,-169.9187,25.94,73,75,5.14,NU,1692926488
345,presov,49.1667,21.25,16.32,78,21,0.9,SK,1692926489
346,port elizabeth,-33.918,25.5701,10.16,87,0,3.6,ZA,1692926490
347,amahai,-3.3333,128.9167,25.34,87,100,4.81,ID,1692926491
348,bintulu,3.1667,113.0333,28.23,89,20,1.03,MY,1692926491
349,okha,53.5739,142.9478,16.55,76,73,6.36,RU,1692926492
350,waldbuttelbrunn,49.7883,9.8467,19.4,90,99,2.88,DE,1692926493
351,brookings,44.3114,-96.7984,27.32,76,0,2.57,US,1692926494
352,powell river,49.8496,-124.5361,23.8,46,75,2.57,CA,1692926494
353,mulki,13.1,74.8,24.6,94,20,2.06,IN,1692926495
354,valle de la pascua,9.2155,-66.0073,24.4,88,74,0.48,VE,1692926496
355,male,4.1748,73.5089,27.97,78,75,4.63,MV,1692926496
356,greymouth,-42.4667,171.2,12.61,69,58,1.87,NZ,1692926497
357,praya,14.9215,-23.5087,27.3,74,20,1.03,CV,1692926498
358,speightstown,13.25,-59.65,28.34,73,100,1.06,BB,1692926499
359,prince rupert,54.3161,-130.3201,16.83,91,0,6.69,CA,1692926452
360,behompy,-23.2496,43.8557,19.85,49,0,2.23,MG,1692926500
361,prado,-17.3411,-39.2208,23.89,89,0,6.47,BR,1692926501
362,hiroshima,34.3963,132.4594,30.02,72,43,2.1,JP,1692926502
363,waingapu,-9.6567,120.2641,27.63,56,21,8.28,ID,1692926503
364,priargunsk,50.3691,119.1012,17.97,40,100,3.78,RU,1692926503
365,fale old settlement,-9.3852,-171.2468,28.02,78,12,6.37,TK,1692926504
